min_attack,max_attack,at1,at2,at3,at4,at5,at6,at7,at8,at9,at10,at11,at12,at13,at14,at15,at16,at17,at18,at19,at20
1,5,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-
6,10,1|-,1|-,1|-,1|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,1|-,0|-,0|-
11,15,2|-,2|-,2|-,2|-,1|-,1|-,1|-,1|-,1|-,1|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,2|-,1|-,1|-
16,20,4|A,4|A,3|-,3|-,2|-,2|-,2|-,2|-,2|-,2|-,1|-,1|-,1|-,1|-,1|-,1|-,1|-,3|-,2|-,2|-
21,25,5|A,5|A,4|A,4|A,3|-,3|-,3|-,3|-,3|-,3|-,2|-,2|-,2|-,2|-,2|-,2|-,2|-,4|A,3|-,3|-
26,30,7|A,7|A,6|A,6|A,5|A,5|A,5|-,5|-,5|-,5|-,4|-,4|-,4|-,4|-,4|-,4|-,4|-,6|A,5|A,5|-
31,35,9|A,9|A,8|A,8|A,7|A,7|A,7|A,7|A,7|A,7|A,6|A,6|A,6|A,6|A,6|A,6|A,6|A,8|A,7|A,7|A
36,40,11|B,11|B,10|A,10|A,9|A,9|A,9|A,9|A,9|A,9|A,8|A,8|A,8|A,8|A,8|A,8|A,8|A,10|A,9|A,9|A
41,45,13|B,13|B,12|B,12|B,11|A,11|A,11|A,11|A,11|A,11|A,10|A,10|A,10|A,10|A,10|A,10|A,10|A,12|B,11|A,11|A
46,50,15|B,15|B,14|B,14|B,13|B,13|B,13|A,13|A,13|A,13|A,12|A,12|A,12|A,12|A,12|A,12|A,12|A,14|B,13|B,13|A
51,55,17|B,17|B,16|B,16|B,15|B,15|B,15|B,15|B,15|B,15|B,14|B,14|B,14|B,14|B,14|B,14|B,14|B,16|B,15|B,15|B
56,1000,19|C,19|C,18|B,18|B,17|B,17|B,17|B,17|B,17|B,17|B,16|B,16|B,16|B,16|B,16|B,16|B,16|B,18|B,17|B,17|B
