min_attack,max_attack,at1,at2,at3,at4,at5,at6,at7,at8,at9,at10,at11,at12,at13,at14,at15,at16,at17,at18,at19,at20
1,5,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-
6,10,2|-,2|-,2|-,2|-,1|-,1|-,1|-,1|-,1|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,1|-,1|-,0|-
11,15,4|A,4|A,4|A,4|A,3|-,3|-,3|-,3|-,3|-,2|-,1|-,1|-,1|-,1|-,1|-,1|-,1|-,3|-,3|-,1|-
16,20,6|A,6|A,6|A,6|A,5|A,5|A,5|A,5|A,5|A,4|A,3|-,3|-,3|-,3|-,3|-,3|-,3|-,5|A,5|A,3|-
21,25,8|B,8|B,8|B,8|B,7|A,7|A,7|A,7|A,7|A,6|A,5|A,5|A,5|A,5|A,5|A,5|A,5|A,7|A,7|A,5|A
26,30,10|B,10|B,10|B,10|B,9|B,9|B,9|A,9|A,9|A,8|A,7|A,7|A,7|A,7|A,7|A,7|A,7|A,9|B,9|A,7|A
31,35,12|C,12|C,12|C,12|C,11|B,11|B,11|B,11|B,11|B,10|A,9|A,9|A,9|A,9|A,9|A,9|A,9|A,11|B,11|B,9|A
36,40,14|C,14|C,14|C,14|C,13|B,13|B,13|B,13|B,13|B,12|B,11|A,11|A,11|A,11|A,11|A,11|A,11|A,13|B,13|B,11|A
41,45,16|D,16|D,16|D,16|D,15|C,15|C,15|C,15|C,15|C,14|B,13|B,13|B,13|B,13|B,13|B,13|B,13|B,15|C,15|C,13|B
46,50,18|D,18|D,18|D,18|D,17|C,17|C,17|C,17|C,17|C,16|B,15|B,15|B,15|B,15|B,15|B,15|B,15|B,17|C,17|C,15|B
51,55,20|E,20|E,20|E,20|E,19|D,19|D,19|D,19|D,19|D,18|C,17|C,17|C,17|C,17|C,17|C,17|C,17|C,19|D,19|D,17|C
56,1000,22|E,22|E,22|E,22|E,21|D,21|D,21|D,21|D,21|D,20|C,19|C,19|C,19|C,19|C,19|C,19|C,19|C,21|D,21|D,19|C
