min_attack,max_attack,at1,at2,at3,at4,at5,at6,at7,at8,at9,at10,at11,at12,at13,at14,at15,at16,at17,at18,at19,at20
1,5,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-
6,10,2|-,2|-,1|-,1|-,1|-,1|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,1|-,1|-,1|-
11,15,4|A,4|A,3|-,3|-,2|-,2|-,1|-,1|-,1|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,0|-,3|-,2|-,2|-
16,20,6|A,6|A,5|A,5|A,4|A,4|A,3|-,3|-,3|-,2|-,2|-,2|-,2|-,2|-,2|-,2|-,2|-,5|A,4|A,4|A
21,25,8|A,8|A,7|A,7|A,6|A,6|A,5|A,5|A,5|A,4|A,4|A,4|A,4|A,4|A,4|A,4|A,4|A,7|A,6|A,6|A
26,30,10|B,10|B,9|A,9|A,8|A,8|A,7|A,7|A,7|A,6|A,6|A,6|A,6|A,6|A,6|A,6|A,6|A,9|A,8|A,8|A
31,35,12|B,12|B,11|B,11|B,10|A,10|A,9|A,9|A,9|A,8|A,8|A,8|A,8|A,8|A,8|A,8|A,8|A,11|B,10|A,10|A
36,40,14|B,14|B,13|B,13|B,12|B,12|B,11|A,11|A,11|A,10|A,10|A,10|A,10|A,10|A,10|A,10|A,10|A,13|B,12|B,12|B
41,45,16|C,16|C,15|B,15|B,14|B,14|B,13|B,13|B,13|B,12|A,12|A,12|A,12|A,12|A,12|A,12|A,12|A,15|B,14|B,14|B
46,50,18|C,18|C,17|C,17|C,16|B,16|B,15|B,15|B,15|B,14|B,14|A,14|A,14|A,14|A,14|A,14|A,14|A,17|C,16|B,16|B
51,55,20|C,20|C,19|C,19|C,18|B,18|B,17|B,17|B,17|B,16|B,16|B,16|B,16|B,16|B,16|B,16|B,16|B,19|C,18|B,18|B
56,1000,22|D,22|D,21|C,21|C,20|C,20|C,19|B,19|B,19|B,18|B,18|B,18|B,18|B,18|B,18|B,18|B,18|B,21|C,20|C,20|C
