Stat,Bonus
1,-10
2,-10
3,-10
4,-10
5,-9
6,-9
7,-9
8,-9
9,-9
10,-8
11,-8
12,-8
13,-8
14,-8
15,-7
16,-7
17,-7
18,-7
19,-7
20,-6
21,-6
22,-6
23,-6
24,-6
25,-5
26,-5
27,-5
28,-5
29,-5
30,-4
31,-4
32,-4
33,-4
34,-4
35,-3
36,-3
37,-3
38,-3
39,-3
40,-2
41,-2
42,-2
43,-2
44,-2
45,-1
46,-1
47,-1
48,-1
49,-1
50,0
51,0
52,0
53,0
54,0
55,1
56,1
57,1
58,1
59,1
60,2
61,2
62,2
63,2
64,2
65,3
66,3
67,3
68,3
69,3
70,4
71,4
72,4
73,4
74,4
75,5
76,5
77,5
78,5
79,5
80,6
81,6
82,6
83,6
84,6
85,7
86,7
87,7
88,7
89,7
90,8
91,8
92,8
93,8
94,8
95,9
96,9
97,9
98,9
99,9
100,10
