Difference,Roll_Min,Roll_Max,Gain
0,1,100,0
1,1,100,0
2,1,100,0
3,1,100,0
4,1,100,0
5,1,100,0
6,1,70,0
6,71,95,1
6,96,100,2
7,1,70,0
7,71,95,1
7,96,100,2
8,1,70,0
8,71,95,1
8,96,100,2
9,1,70,0
9,71,95,1
9,96,100,2
10,1,70,0
10,71,95,1
10,96,100,2
11,1,40,0
11,41,85,1
11,86,100,2
12,1,40,0
12,41,85,1
12,86,100,2
13,1,40,0
13,41,85,1
13,86,100,2
14,1,40,0
14,41,85,1
14,86,100,2
15,1,40,0
15,41,85,1
15,86,100,2
16,1,40,0
16,41,85,1
16,86,100,2
17,1,40,0
17,41,85,1
17,86,100,2
18,1,40,0
18,41,85,1
18,86,100,2
19,1,40,0
19,41,85,1
19,86,100,2
20,1,40,0
20,41,85,1
20,86,100,2
21,1,20,0
21,21,70,1
21,71,95,2
21,96,100,3
22,1,20,0
22,21,70,1
22,71,95,2
22,96,100,3
23,1,20,0
23,21,70,1
23,71,95,2
23,96,100,3
24,1,20,0
24,21,70,1
24,71,95,2
24,96,100,3
25,1,20,0
25,21,70,1
25,71,95,2
25,96,100,3
26,1,20,0
26,21,70,1
26,71,95,2
26,96,100,3
27,1,20,0
27,21,70,1
27,71,95,2
27,96,100,3
28,1,20,0
28,21,70,1
28,71,95,2
28,96,100,3
29,1,20,0
29,21,70,1
29,71,95,2
29,96,100,3
30,1,20,0
30,21,70,1
30,71,95,2
30,96,100,3
31,1,20,0
31,21,70,1
31,71,95,2
31,96,100,3
32,1,20,0
32,21,70,1
32,71,95,2
32,96,100,3
33,1,20,0
33,21,70,1
33,71,95,2
33,96,100,3
34,1,20,0
34,21,70,1
34,71,95,2
34,96,100,3
35,1,20,0
35,21,70,1
35,71,95,2
35,96,100,3
36,1,20,0
36,21,70,1
36,71,95,2
36,96,100,3
37,1,20,0
37,21,70,1
37,71,95,2
37,96,100,3
38,1,20,0
38,21,70,1
38,71,95,2
38,96,100,3
39,1,20,0
39,21,70,1
39,71,95,2
39,96,100,3
40,1,20,0
40,21,70,1
40,71,95,2
40,96,100,3
41,1,10,0
41,11,50,1
41,51,85,2
41,86,100,4
42,1,10,0
42,11,50,1
42,51,85,2
42,86,100,4
43,1,10,0
43,11,50,1
43,51,85,2
43,86,100,4
44,1,10,0
44,11,50,1
44,51,85,2
44,86,100,4
45,1,10,0
45,11,50,1
45,51,85,2
45,86,100,4
46,1,10,0
46,11,50,1
46,51,85,2
46,86,100,4
47,1,10,0
47,11,50,1
47,51,85,2
47,86,100,4
48,1,10,0
48,11,50,1
48,51,85,2
48,86,100,4
49,1,10,0
49,11,50,1
49,51,85,2
49,86,100,4
50,1,10,0
50,11,50,1
50,51,85,2
50,86,100,4
