tower_id,difficulty,is_auxiliar
a000222222,42,false
e000222222,40,false
a000102200,0,true
e002222222,39,false
e003222222,39,false
e000322023,0,true
e021222222,38,false
e003323012,0,true
a001222222,40,false
a010222222,41,false
a012101211,0,true
e021022200,0,true
a012303103,0,true
a012222222,42,false
a011222222,40,false
a233222222,42,false
b000222222,43,false
b002222222,44,false
a002222222,43,false
a022222222,45,false
a013222222,43,false
a013131311,0,true
e031222222,37,false
e020222222,35,false
a020222222,44,false
b003021102,0,true
e022222222,36,false
e033222222,39,false
e211303011,0,true
e020303232,0,true
a233032311,0,true
b003222222,46,false
e212222222,36,false
e212303020,0,true
c001222222,47,false
b002010202,0,true
a102222222,41,false
e303222222,38,false
a020101300,0,true
e300222222,39,false
e302222222,38,false
a100222222,40,false
e301322013,0,true
a003023122,0,true
b021222222,47,false
b021303231,0,true
e211222222,38,false
e212313100,0,true
a013022223,0,true
e032222222,38,false
a021022310,0,true
e323222222,35,false
e310010101,0,true
e030222222,39,false
e301222222,37,false
e223222222,35,false
e012222222,35,false
e231222222,33,false
b022022301,0,true
b023222222,46,false
a030222222,47,false
a021131322,0,true
e321322101,0,true
a021222222,46,false
e013222222,34,false
b010222222,47,false
e232222222,31,false
b022222222,47,false
b030222222,50,false
e220222222,34,false
e201222222,33,false
e310222222,34,false
c001030033,0,true
a232222222,43,false
a231222222,44,false
e232313233,0,true
e222222222,32,false
e213222222,37,false
e210101302,0,true
a031222222,46,false
e301313102,0,true
b023030200,0,true
e230222222,30,false
e121222222,28,false
e121313233,0,true
e203222222,30,false
e201030200,0,true
b012222222,48,false
b020222222,48,false
e102222222,28,false
e123222222,25,false
e103122310,0,true
e200222222,30,false
e101222222,27,false
d321222222,27,false
e100222222,29,false
e123303022,0,true
e110222222,24,false
e112222222,23,false
e203030130,0,true
d330222222,24,false
d333222222,22,false
d331222222,22,false
e133222222,28,false
n312222222,26,false
d333111113,0,true
l111222222,20,false
m000222222,19,false
e130222222,28,false
l111322101,0,true
l113120332,0,true
d322222222,24,false
m002222222,17,false
e132222222,27,false
n313222222,25,false
m002030200,0,true
m023222222,15,false
m022131210,0,true
m000323231,0,true
l112222222,19,false
l110222222,18,false
n333222222,20,false
n333020221,0,true
n333012230,0,true
m003222222,18,false
m021222222,16,false
e122222222,25,false
e120222222,25,false
e131222222,26,false
m013022020,0,true
m001313132,0,true
e111222222,22,false
m020222222,14,false
m020010201,0,true
m013222222,13,false
m231222222,12,false
m032222222,17,false
m032010200,0,true
m031222222,16,false
n332131021,0,true
n330222222,20,false
m013131311,0,true
e111302013,0,true
d310222222,27,false
e111323210,0,true
m232222222,10,false
m232303232,0,true
m230222222,9,false
m213222222,17,false
m212222222,16,false
n320222222,23,false
m233222222,9,false
m211222222,17,false
m211131213,0,true
n300222222,20,false
n212222222,21,false
m102222222,6,false
m210101302,0,true
n031222222,18,false
m301222222,14,false
m302222222,15,false
m302131031,0,true
m103222222,6,false
n211222222,19,false
n032222222,19,false
m210222222,15,false
m201222222,13,false
m301131210,0,true
m310222222,11,false
m311222222,9,false
m320222222,13,false
m202222222,8,false
m311313212,0,true
m312222222,10,false
s132222222,9,false
s133222222,8,false
m130222222,5,false
n020222222,17,false
s133313100,0,true
m311303231,0,true
s200222222,7,false
m321322301,0,true
n013222222,16,false
m322222222,14,false
m321222222,15,false
s133303013,0,true
m101222222,5,false
m303303312,0,true
s113222222,11,false
n033022011,0,true
n030222222,18,false
n030022012,0,true
m203222222,15,false
m123222222,4,false
n021222222,19,false
s311222222,5,false
m133222222,6,false
l023222222,7,false
l001222222,5,false
m122222222,4,false
s311303213,0,true
m112222222,2,false
l013222222,10,false
m110222222,3,false
m111222222,2,false
s112222222,10,false
l002313113,0,true
l001313121,0,true
l000222222,4,false
l000302200,0,true
s312222222,4,false
k332222222,6,false
k320222222,9,false
s313222222,3,false
s313313302,0,true
s120222222,12,false
n231222222,17,false
t333222222,7,false
l022222222,7,false
l021222222,9,false
s313303031,0,true
s331222222,2,false
s320131211,0,true
s322222222,3,false
s321222222,5,false
s320222222,2,false
m120222222,2,false
m120101300,0,true
s330032100,0,true
m112010320,0,true
l030222222,10,false
k331222222,8,false
m132222222,4,false
k331121213,0,true
n013010202,0,true
r101222222,7,false
k332131020,0,true
r123122201,0,true
t330222222,6,false
r100222222,9,false
r110222222,6,false
s333022313,0,true
l003222222,6,false
l002222222,4,false
s303000300,0,true
k331111313,0,true
o113222222,4,false
s300010103,0,true
k310322323,0,true
t313222222,2,false
k330222222,7,false
s303222222,6,false
s211222222,11,false
s211131213,0,true
t313102033,0,true
s330131212,0,true
n010222222,14,false
n010102210,0,true
r131123002,0,true
k310222222,7,false
k310303031,0,true
t313121222,0,true
r131222222,11,false
r120222222,9,false
k313222222,9,false
k313132031,0,true
k201030312,0,true
o102222222,11,false
o233222222,12,false
k322322203,0,true
o133222222,3,false
o200222222,5,false
t133222222,4,false
k322222222,9,false
k322030202,0,true
s333222222,5,false
s333012311,0,true
k313010130,0,true
o120010322,0,true
r132222222,12,false
r130222222,11,false
k202222222,4,false
k223222222,7,false
t321222222,5,false
r203222222,11,false
r233222222,11,false
o120222222,4,false
o132222222,5,false
k312222222,8,false
r133222222,8,false
k203030132,0,true
k130222222,2,false
k131222222,4,false
r200222222,8,false
k210222222,8,false
r122222222,8,false
r122030310,0,true
k212222222,9,false
k033222222,12,false
r123222222,7,false
t332222222,7,false
r130122201,0,true
k201222222,6,false
l020222222,8,false
r120303011,0,true
k210012133,0,true
k131101233,0,true
r202222222,9,false
r121222222,9,false
r230222222,12,false
k113222222,4,false
r331322332,0,true
k211222222,10,false
r103010230,0,true
o311222222,6,false
t321030200,0,true
k321222222,10,false
k321313103,0,true
o200132300,0,true
t331222222,6,false
k301131201,0,true
t311222222,2,false
t312222222,1,false
k203131301,0,true
k221222222,4,false
k230131301,0,true
r221222222,14,false
o100222222,13,false
k121030201,0,true
r222222222,15,false
t322222222,4,false
r311222222,7,false
r201222222,10,false
r332222222,6,false
r331222222,5,false
o201222222,8,false
k210313230,0,true
k232222222,4,false
k230222222,3,false
r223222222,14,false
k113302012,0,true
t322030202,0,true
r332303233,0,true
o230222222,10,false
r333222222,7,false
k213131032,0,true
k111222222,5,false
k311222222,6,false
k031222222,9,false
k031131313,0,true
r113222222,8,false
k333122303,0,true
t202222222,7,false
k213222222,8,false
k213030310,0,true
k122222222,2,false
k122101211,0,true
k110222222,4,false
r210222222,12,false
r333020201,0,true
k110032311,0,true
r220222222,15,false
t201222222,3,false
k112222222,4,false
o221222222,9,false
k132222222,3,false
n012222222,15,false
n011222222,14,false
r331010102,0,true
o200313233,0,true
q111222222,9,false
q111032310,0,true
k311101213,0,true
k133222222,5,false
k120222222,3,false
t303222222,7,false
t303101031,0,true
k101222222,4,false
j001222222,5,false
t200222222,3,false
k230303102,0,true
k103222222,2,false
r320222222,6,false
r320303100,0,true
r312222222,8,false
t302222222,7,false
k032222222,10,false
k032303232,0,true
r323222222,9,false
k020222222,9,false
k013222222,8,false
o101022102,0,true
k020313103,0,true
q110222222,9,false
r303222222,10,false
s033222222,12,false
t310222222,3,false
r232222222,12,false
k231222222,5,false
k233222222,8,false
r322222222,7,false
r323131033,0,true
k022222222,10,false
k022010202,0,true
t323222222,3,false
k112303003,0,true
k032313233,0,true
t223222222,5,false
r301222222,10,false
q112222222,9,false
t210222222,6,false
q112101212,0,true
q120222222,12,false
q113222222,11,false
r310222222,9,false
k021222222,12,false
k030222222,12,false
r320131212,0,true
